id,name,brand,price,rating,dpi,hand_orientation,model,scrape_datetime
1,evga_x17_gaming_mouse_wired_black_customizable_16_000_dpi_5_profiles_10_buttons_ergonomic_903_w1_17bk_kr,logitech,22.67,3.9,16000_dpi,right_hand,903-W1-17BK-KR,2024-09-15 17:39:07
2,logitech_g203_wired_gaming_mouse_8_000_dpi_rainbow_optical_effect_lightsync_rgb_6_programmable_buttons_on_board_memory_screen_mapping_pc_mac_computer_and_laptop_compatible_black,logitech,48.59,4.3,8000_dpi,both_hands,910-005790,2024-09-15 17:39:07
3,logitech_g_pro_x_superlight_wireless_gaming_mouse_ultra_lightweight_hero_25k_sensor_25_600_dpi_5_programmable_buttons_long_battery_life_compatible_with_pc_mac_black,logitech,180.35,4.4,25600_dpi,right_hand,910-005878,2024-09-15 17:39:07
4,logitech_g903_lightspeed_wireless_gaming_mouse_w_hero_25k_sensor_powerplay_compatible_140_hour_with_rechargeable_battery_and_lightsync_rgb_ambidextrous_107g_10g_optional_25_600_dpi_black,corsair,158.62,3.8,12000_dpi,right_hand,910-005670,2024-09-15 17:39:07
5,corsair_katar_pro_xt_ultra_light_gaming_mouse_ch_930c111_na,asus,52.91,4.3,18000_dpi,right_hand,CH-930C111-NA,2024-09-15 17:39:07
6,asus_rog_keris_ii_wl_ace_54_gram_ergonomic_mouse_42000_dpi_rog_micro_switch_speednova_wireless_technology_rog_polling_rate_booster_4000_hz_in_wireless_mode_up_to_8000_hz_in_wired_mode_white,corsair,236.51,4.2,42000_dpi,right_hand,90MP03N0-BMUA10,2024-09-15 17:39:07
7,corsair_scimitar_rgb_elite_ch_9304211_na_black_17_buttons_1_x_wheel_usb_2_0_type_a_wired_optical_moba_mmo_gaming_mouse_backlit_rgb_led,logitech,90.71,3.8,18000_dpi,right_hand,CH-9304211-NA,2024-09-15 17:39:07
8,logitech_g502_lightspeed_wireless_gaming_mouse_with_hero_25k_sensor_powerplay_compatible_tunable_weights_and_lightsync_rgb_black,logitech,150.11,4.2,25600_dpi,right_hand,910-005565,2024-09-15 17:39:07
9,logitech_g502_x_plus_lightspeed_wireless_rgb_gaming_mouse_optical_mouse_with_lightforce_hybrid_switches_lightsync_rgb_hero_25k_gaming_sensor_compatible_with_pc_macos_windows_black,asus,237.59,5,25600_dpi,right_hand,910-006160,2024-09-15 17:39:07
10,asus_rog_gladius_iii_wired_gaming_mouse_tuned_19_000_dpi_sensor_hot_swappable_push_fit_ii_switches_ergo_shape_rog_omni_mouse_feet_rog_paracord_and_aura_sync_rgb_lighting,logitech,74.51,4,19000_dpi,right_hand,90MP0270-BMUA00,2024-09-15 17:39:07
11,logitech_g502_hero_high_performance_wired_gaming_mouse_hero_25k_sensor_25_600_dpi_rgb_adjustable_weights_11_programmable_buttons_on_board_memory_pc_mac,logitech,74.51,4.2,25600_dpi,both_hands,910-005469,2024-09-15 17:39:07
12,logitech_g305_lightspeed_wireless_gaming_mouse_hero_12k_sensor_12_000_dpi_lightweight_6_programmable_buttons_250h_battery_life_on_board_memory_pc_mac_white,logitech,73.43,4.6,12000_dpi,right_hand,910-005289,2024-09-15 17:39:07
13,logitech_g502_x_lightspeed_wireless_gaming_mouse_optical_mouse_with_lightforce_hybrid_optical_mechanical_switches_hero_25k_gaming_sensor_compatible_with_pc_macos_windows_white,logitech,193.31,4.8,25600_dpi,right_hand,910-006187,2024-09-15 17:39:07
14,logitech_g502_x_wired_gaming_mouse_lightforce_hybrid_optical_mechanical_primary_switches_hero_25k_gaming_sensor_compatible_with_pc_macos_windows_black,corsair,111.23,4.6,25600_dpi,ambidextrous,910-006136,2024-09-15 17:39:07
15,corsair_nightsword_rgb_performance_tunable_fps_moba_gaming_mouse_black_backlit_rgb_led_18000_dpi_optical,logitech,134.99,4.3,18000_dpi,both_hands,CH-9306011-NA,2024-09-15 17:39:07
